state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average,total_population,foreign_born_est_prop,l1_africa,l1_americas,l1_asia,l1_europe,l1_oceania,l2_africa_eastern_africa,l2_africa_middle_africa,l2_africa_northern_africa,l2_africa_southern_africa,l2_africa_western_africa,l2_americas_latin_america,l2_americas_northern_america,l2_asia_eastern_asia,l2_asia_south_central_asia,l2_asia_south_eastern_asia,l2_asia_western_asia,l2_europe_eastern_europe,l2_europe_northern_europe,l2_europe_southern_europe,l2_europe_western_europe,l2_oceania_australia_nzealand_subregion,origin_prop
Indiana,Indianapolis,Afghanistan,0,2,3,9,0,4,0,6,5,0,3,-100,853431,9.27,14.1305722015727,52.3793269109206,27.2687046448709,5.86361222786923,0.357784014766492,3.56393334850439,0.929227034817568,1.21874130825052,0.092290576247187,6.55895218589598,51.3944726794609,0.984854231459708,4.4274191509267,7.37818908189841,13.4681028597436,1.86983235985739,2.24531593719184,1.46779943867102,0.542365167260866,1.60813168474551,0.357784014766492,0.0745910136792334
Iowa,West Des Moines,Bhutan,0,0,0,0,6,9,0,0,0,3,3,0,62999,10.78,8.80836647518044,18.4563264103697,58.1528943879806,14.3614670790985,0.220945647370747,4.10958904109589,0,1.84121372808956,0,2.1505376344086,17.6903814994845,0.765944910885256,5.87715422006186,34.2171159228163,12.7706584180292,5.28796582707321,11.5186330829283,0.338783325968478,0.544999263514509,1.95905140668729,0.220945647370747,
Kansas,Kansas City,Vietnam,0,0,0,0,0,0,0,15,0,0,3,-100,151042,16.75,3.45045650369551,74.5899371566341,19.1731552112565,2.18173194735386,0.604719181060037,2.49002015730604,0,0.130429627287459,0.134382040235564,0.600766768111932,74.2539820560452,0.33595510058891,1.49401209438362,5.46223469428086,11.6991423263903,0.517766096201731,1.1501521678985,0.474289553772578,0.181810995612822,0.375479230069958,0.209477886249555,0.660052962333505
Kentucky,Louisville,Sri Lanka (Ceylon),0,0,0,3,0,0,9,4,2,0,3,-100,615478,7.14,16.2579617834395,39.3949044585987,31.0259326660601,12.7092811646952,0.611919927206551,7.09963603275705,2.09281164695177,1.98134667879891,0.179708826205641,3.33257506824386,37.9071883530482,1.4877161055505,5.56869881710646,12.7525022747953,8.94904458598726,3.56232939035487,8.07324840764331,1.7697907188353,0.573248407643312,2.29299363057325,0.125113739763421,0.14786169244768
Maine,Saco,Iraq,0,0,0,2,15,0,0,0,0,0,3,-100,19127,4.1,19.8726114649682,28.1528662420382,35.5414012738853,16.4331210191083,0,19.8726114649682,0,0,0,0,4.45859872611465,23.6942675159236,5.22292993630573,9.04458598726115,20.2547770700637,1.01910828025478,3.94904458598726,1.52866242038217,2.80254777070064,8.15286624203822,0,0
Maryland,Rockville,Iraq,0,3,4,5,7,0,6,2,0,0,3,-100,66420,35.52,7.69719832153605,26.8723774000763,52.4986224727673,12.7961683550206,0.135633450599754,2.44140211079558,1.04692069681685,0.924002882210825,0.114440723943543,3.03055991183826,26.0077141525029,0.864663247573433,23.4688254990887,16.9541813249693,8.13376849065401,3.94184715805536,7.54884923494257,1.28427923536642,1.52587631924723,2.43716356546433,0.135633450599754,0.262789810537024
Massachusetts,Lowell,Afghanistan,0,0,0,0,0,0,4,5,6,0,3,-100,110964,26.72,10.5190381437388,27.7359954133081,52.335503018448,9.17001112947287,0.239452295032208,5.75360021584432,0.431688644565107,0.583454183670028,0.0101177026069947,2.08424673704091,26.842265016357,0.893730396951199,2.65083808303261,9.37911031668409,38.3933088260092,1.87177498229402,1.00502512562814,1.03200566591346,6.66082088293818,0.472159454993086,0.239452295032208,0
Massachusetts,Malden,Iraq,0,21,6,12,15,0,0,0,0,0,3,-100,61212,43.27,10.4700774023032,33.9550689069284,46.5508778553898,8.8804983953181,0.143477440060412,3.77949782895979,0.84953747404191,3.27732678874835,0,2.56371531055314,32.9733811591467,0.981687747781763,24.7196526335662,9.7715688125354,9.83198036624504,2.22767604304323,3.36794411931282,1.14781952048329,3.31885973192373,1.04587502359826,0.143477440060412,0
Michigan,Battle Creek,Rwanda,0,0,0,0,8,0,0,0,7,0,3,-100,51505,4.89,1.74811283273739,34.207389749702,52.5228446563369,11.4024632499007,0.119189511323004,0.437028208184346,0,0,0,1.31108462455304,31.9030591974573,2.30433055224474,20.9773539928486,1.78784266984505,26.3011521652761,3.4564958283671,1.98649185538339,0.794596742153357,0.953516090584029,7.6678585617799,0.119189511323004,
Michigan,Center Line,Iraq,1,3,0,0,6,2,3,4,0,0,3,-100,,,,,,,,,,,,,,,,,,,,,,,,
