state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Maryland,Silver Spring,Vietnam,0,0,0,0,0,2,0,0,0,0,0.4,-100
Maryland,Takoma Park,Eritrea,1,4,1,1,1,0,1,0,0,0,0.4,-100
Maryland,West Friendship,Iran,0,2,0,0,2,0,0,0,0,0,0.4,-100
Massachusetts,Beverly,Syria,0,0,0,0,0,0,2,0,0,0,0.4,-100
Massachusetts,Bourne,Iran,0,0,0,0,0,0,0,0,2,0,0.4,-100
Massachusetts,Cambridge,Iran,0,1,0,0,0,1,0,0,1,0,0.4,-100
Massachusetts,Cambridge,Somalia,4,7,5,1,1,0,1,0,0,0,0.4,-100
Massachusetts,Chelsea,Gambia,0,0,2,0,2,0,0,0,0,0,0.4,-100
Massachusetts,Chestnut Hill,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Massachusetts,Dorchester,Burma,0,2,0,2,1,0,0,1,0,0,0.4,-100
Massachusetts,Dorchester,Eritrea,0,1,0,0,0,0,0,2,0,0,0.4,-100
Massachusetts,Holliston,Iraq,0,0,0,0,0,2,0,0,0,0,0.4,-100
Massachusetts,Jamaica Plain,Eritrea,0,3,0,0,0,2,0,0,0,0,0.4,-100
Massachusetts,Millis,Iraq,0,0,0,0,2,0,0,0,0,0,0.4,-100
Massachusetts,Natick,Iraq,8,5,0,7,0,0,0,2,0,0,0.4,-100
Massachusetts,Quincy,Iran,0,0,0,1,0,0,0,2,0,0,0.4,-100
Massachusetts,Saugus,Iraq,0,1,0,1,2,0,0,0,0,0,0.4,-100
Massachusetts,South Boston,Burundi,0,0,0,0,0,0,2,0,0,0,0.4,-100
Massachusetts,South Boston,Cameroon,0,0,0,0,0,0,1,0,1,0,0.4,-100
Massachusetts,South Boston,Chad,0,0,0,2,2,0,0,0,0,0,0.4,-100
Massachusetts,South Boston,Colombia,0,0,0,0,0,0,0,0,2,0,0.4,-100
Massachusetts,South Boston,Ivory Coast,0,0,0,0,0,0,1,1,0,0,0.4,-100
Massachusetts,South Boston,Senegal,0,0,0,0,1,0,1,0,0,0,0.4,-100
Massachusetts,West Newton,Ukraine,0,0,0,0,0,0,0,2,0,0,0.4,-100
Massachusetts,West Springfield,Cuba,2,0,0,0,0,2,0,0,0,0,0.4,-100
Massachusetts,Westfield,Russia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Massachusetts,Winchester,Iraq,0,0,0,0,2,0,0,0,0,0,0.4,-100
Massachusetts,Worcester,Yemen,0,0,0,0,0,0,1,0,1,0,0.4,-100
Michigan,Battle Creek,Cuba,0,0,3,0,1,1,0,0,0,0,0.4,-100
Michigan,Battle Creek,Iran,0,0,0,0,0,0,1,0,1,0,0.4,-100
Michigan,Clinton,Burma,0,0,0,0,2,0,0,0,0,0,0.4,-100
Michigan,Clinton,Iraq,13,0,0,0,2,0,0,0,0,0,0.4,-100
Michigan,Clinton Township,Iran,0,0,0,0,0,0,0,1,1,0,0.4,-100
Michigan,Clinton Township,Yemen,0,0,0,0,0,0,0,2,0,0,0.4,-100
Michigan,Comstock Park,Dem. Rep. Congo,0,0,0,0,0,0,0,2,0,0,0.4,-100
Michigan,Dearborn,Yemen,0,0,0,0,1,0,1,0,0,0,0.4,-100
Michigan,Delhi Charter Township,Iraq,0,0,0,0,0,0,0,2,0,0,0.4,-100
Michigan,Farmington Hills,Ukraine,0,0,0,0,0,0,2,0,0,0,0.4,-100
Michigan,Ferndale,Iraq,9,0,0,5,0,2,0,0,0,0,0.4,-100
Michigan,Grand Blanc,Iran,0,0,0,0,2,0,0,0,0,0,0.4,-100
Michigan,Grand Rapids,Congo,0,0,0,5,0,0,2,0,0,0,0.4,-100
Michigan,Holland,Cuba,0,3,0,0,0,2,0,0,0,0,0.4,-100
Michigan,Kalamazoo,Eritrea,0,0,0,0,0,0,0,1,1,1,0.4,150
Michigan,Kalamazoo,Rwanda,0,0,0,0,0,0,0,0,2,0,0.4,-100
Michigan,Kalamazoo,Somalia,0,0,0,0,0,0,0,0,2,0,0.4,-100
Michigan,Kentwood,Nepal,0,0,0,0,0,1,0,1,0,0,0.4,-100
Michigan,Okemos,Burma,0,0,0,0,1,1,0,0,0,0,0.4,-100
Michigan,Pleasant Ridge,Syria,0,0,0,0,0,0,0,2,0,0,0.4,-100
Michigan,Sterling Heights,Syria,0,0,0,0,0,0,0,2,0,0,0.4,-100
Michigan,Taylor,Iraq,0,1,0,0,2,0,0,0,0,0,0.4,-100
Michigan,Troy,Burma,0,0,0,0,0,0,2,0,0,0,0.4,-100
Michigan,Warner,Iraq,0,0,0,0,0,2,0,0,0,0,0.4,-100
Minnesota,Apple Valley,Burma,0,0,0,3,0,2,0,0,0,0,0.4,-100
Minnesota,Austin,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
Minnesota,Brooklyn Park,Eritrea,0,0,0,0,2,0,0,0,0,0,0.4,-100
Minnesota,Burnsville,Burma,0,0,0,0,0,0,2,0,0,0,0.4,-100
Minnesota,Coon Rapids,Armenia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Minnesota,Cottage Grove,Ethiopia,0,0,0,0,0,0,0,1,1,0,0.4,-100
Minnesota,Elk River,Ukraine,0,0,0,0,2,0,0,0,0,0,0.4,-100
Minnesota,Falcon Heights,Somalia,4,0,0,0,0,0,2,0,0,0,0.4,-100
Minnesota,Faribault,Kenya,0,0,0,0,1,0,0,0,1,0,0.4,-100
Minnesota,Fridley,Somalia,0,0,0,0,0,1,0,1,0,0,0.4,-100
Minnesota,Ham Lake,Moldova,0,0,0,0,0,0,0,2,0,0,0.4,-100
Minnesota,Maple Grove,Somalia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Minnesota,Minneapolis,Cuba,0,0,0,0,0,2,0,0,0,0,0.4,-100
Minnesota,Minneapolis,Kazakhstan,0,0,0,0,0,0,0,2,0,4,0.4,900
Minnesota,New Hope,Somalia,0,0,0,0,0,2,0,0,0,0,0.4,-100
Minnesota,Plymouth,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Minnesota,Ramsey,Ukraine,0,0,0,0,0,1,1,0,0,0,0.4,-100
Minnesota,Richfield,Afghanistan,0,0,0,0,0,0,0,2,0,0,0.4,-100
Minnesota,Roseville,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Minnesota,St. Paul,China,0,0,0,0,0,0,0,0,2,0,0.4,-100
Minnesota,St. Paul,Djibouti,0,0,0,0,0,0,2,0,0,0,0.4,-100
Minnesota,Willmar,Kenya,0,0,0,0,0,0,0,2,0,0,0.4,-100
Minnesota,Woodbury,Ethiopia,1,0,0,0,0,0,0,1,1,0,0.4,-100
Minnesota,Zimmerman,Russia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Missouri,Chesterfield,Iraq,0,4,0,0,0,2,0,0,0,0,0.4,-100
Missouri,Hughesville,Ukraine,0,0,0,0,0,0,0,2,0,0,0.4,-100
Missouri,Manchester,Iran,0,0,0,0,2,0,0,0,0,0,0.4,-100
Missouri,Mora,Ukraine,0,0,0,0,0,0,0,0,2,0,0.4,-100
Missouri,Noel,Burma,0,0,0,0,0,0,0,2,0,0,0.4,-100
Missouri,St. Louis,Liberia,5,7,0,0,0,2,0,0,0,0,0.4,-100
Missouri,St. Louis,Nepal,0,0,0,1,0,2,0,0,0,0,0.4,-100
Missouri,St. Louis,Uganda,0,0,0,0,0,0,1,0,1,0,0.4,-100
Missouri,St. Louis,Ukraine,0,0,0,0,0,0,2,0,0,1,0.4,150
Nebraska,Crete,Iran,0,0,0,0,0,1,1,0,0,0,0.4,-100
Nebraska,Lincoln,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Nebraska,Norfolk,Burma,0,0,0,0,0,0,0,0,2,3,0.4,650
Nebraska,Omaha,El Salvador,0,0,0,0,0,0,0,0,2,5,0.4,1150
Nebraska,Omaha,India,0,0,0,0,0,1,0,0,1,0,0.4,-100
Nebraska,Syracuse,Burma,0,0,0,0,0,0,2,0,0,0,0.4,-100
Nevada,Henderson,Cuba,4,0,0,0,0,0,2,0,0,0,0.4,-100
Nevada,Henderson,Iran,2,0,0,0,0,2,0,0,0,0,0.4,-100
Nevada,Jean,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
Nevada,Las Vegas,Guatemala,0,0,0,0,0,0,0,0,2,0,0.4,-100
Nevada,Reno,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
New Hampshire,Dover,Iraq,0,0,0,0,0,0,0,0,2,0,0.4,-100
New Jersey,Camden,Iran,0,0,0,0,0,2,0,0,0,0,0.4,-100
New Jersey,Camden,Uganda,0,0,0,0,0,0,0,0,2,1,0.4,150
New Jersey,Cherry Hill,Iraq,0,0,0,0,0,0,0,2,0,0,0.4,-100
New Jersey,East Brunswick,Iraq,0,0,2,7,1,1,0,0,0,0,0.4,-100
New Jersey,Elizabeth,Burma,6,28,6,2,0,1,1,0,0,5,0.4,1150
New Jersey,Elizabeth,Russia,0,0,0,0,0,0,0,0,2,3,0.4,650
New Jersey,Garwood,Iraq,0,0,0,0,2,0,0,0,0,0,0.4,-100
New Jersey,Hackensack,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
New Jersey,Haledon,China,0,0,0,2,0,2,0,0,0,0,0.4,-100
New Jersey,Jersey City,Russia,1,0,0,0,0,0,0,0,2,3,0.4,650
New Jersey,Maple Shade,Iraq,0,0,0,0,0,0,2,0,0,0,0.4,-100
New Jersey,Newark,Colombia,0,0,0,0,0,0,0,0,2,2,0.4,400
New Jersey,Robbinsville,Iraq,1,3,0,0,0,0,2,0,0,0,0.4,-100
New Jersey,Somerdale,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
New Jersey,Wayne,Iraq,6,0,0,0,0,0,0,2,0,0,0.4,-100
New Jersey,Wildwood Crest,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
New Jersey,Willingboro,Afghanistan,0,0,0,0,2,0,0,0,0,0,0.4,-100
New Mexico,Albuquerque,Ivory Coast,0,0,0,0,0,0,0,0,2,0,0.4,-100
New Mexico,Albuquerque,Republic of South Sudan,0,0,0,0,0,0,0,2,0,0,0.4,-100
New Mexico,Clovis,Honduras,0,0,0,0,0,0,0,2,0,0,0.4,-100
New York,Albany,Uganda,0,0,0,0,0,0,0,0,2,0,0.4,-100
New York,Amityville,El Salvador,0,0,0,0,0,0,0,1,1,0,0.4,-100
New York,Binghamton,Iran,0,0,0,0,0,0,2,0,0,0,0.4,-100
New York,Brentwood,Colombia,0,0,0,0,0,0,2,0,0,0,0.4,-100
New York,Brockport,Bhutan,0,0,0,0,0,0,0,2,0,0,0.4,-100
New York,Bronx,Ethiopia,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Brooklyn,Eritrea,0,1,0,0,0,0,0,0,2,0,0.4,-100
New York,Brooklyn,Pakistan,0,0,0,0,0,0,0,2,0,0,0.4,-100
New York,Buffalo,Egypt,0,0,0,0,0,0,0,2,0,0,0.4,-100
New York,Buffalo,Kazakhstan,0,0,0,0,0,0,0,2,0,0,0.4,-100
New York,Buffalo,Sri Lanka (Ceylon),0,0,0,0,0,0,0,2,0,3,0.4,650
New York,Clay,Iran,0,0,0,0,0,2,0,0,0,0,0.4,-100
New York,Clifton Park,Iraq,0,0,0,0,0,0,0,2,0,0,0.4,-100
New York,Coram,Iraq,0,0,0,0,0,0,0,0,2,0,0.4,-100
New York,Corona,Tibet,0,0,0,0,0,0,0,0,2,0,0.4,-100
New York,Flushing,Iran,1,0,0,0,0,0,0,0,2,0,0.4,-100
New York,Ithaca,Cuba,0,0,0,0,0,0,2,0,0,0,0.4,-100
New York,New York,Egypt,0,0,0,0,0,0,2,0,0,0,0.4,-100
New York,New York,Republic of South Sudan,0,0,0,0,0,0,0,0,2,0,0.4,-100
New York,New York,Tajikistan,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,New York,Vietnam,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Ozone Park,China,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Rego Park,Burma,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Rochester,Cameroon,0,0,0,0,0,0,0,0,2,0,0.4,-100
New York,Rochester,Iran,0,0,0,0,0,0,1,1,0,0,0.4,-100
New York,Rochester,Zimbabwe,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Roosevelt,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
New York,Sunnyside,Iran,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Syracuse,China,3,2,4,0,0,0,0,1,1,1,0.4,150
New York,Syracuse,Kuwait,4,0,0,0,0,0,2,0,0,0,0.4,-100
New York,Syracuse,Yemen,0,0,0,0,0,2,0,0,0,0,0.4,-100
New York,Utica,Thailand,0,0,0,0,0,0,0,2,0,0,0.4,-100
New York,White Plains,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Yonkers,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
New York,Yonkers,Honduras,0,0,0,0,0,0,0,1,1,0,0.4,-100
North Carolina,Asheville,Eritrea,0,0,0,0,2,0,0,0,0,0,0.4,-100
North Carolina,Asheville,Sudan,0,0,0,0,2,0,0,0,0,0,0.4,-100
North Carolina,Bessemer City,Moldova,0,0,0,0,0,0,0,2,0,0,0.4,-100
North Carolina,Cary,Eritrea,0,1,3,0,2,0,0,0,0,0,0.4,-100
North Carolina,Charlotte,Egypt,0,0,0,0,0,0,0,0,2,0,0.4,-100
North Carolina,Charlotte,Nepal,0,0,0,0,1,0,1,0,0,0,0.4,-100
North Carolina,Charlotte,Russia,4,0,7,4,2,0,0,0,0,5,0.4,1150
North Carolina,Clayton,El Salvador,0,0,0,0,0,0,0,2,0,0,0.4,-100
North Carolina,Dobson,Gabon,0,0,0,0,0,0,0,2,0,0,0.4,-100
North Carolina,Durham,Cambodia,0,0,0,0,0,0,0,2,0,0,0.4,-100
North Carolina,Durham,Chad,0,7,0,0,0,0,0,1,1,0,0.4,-100
North Carolina,Durham,Ivory Coast,0,0,0,0,0,0,0,0,2,0,0.4,-100
North Carolina,Garner,Cuba,0,0,0,0,0,2,0,0,0,0,0.4,-100
North Carolina,Garner,Iraq,0,0,0,0,0,0,0,2,0,0,0.4,-100
North Carolina,Greensboro,India,0,0,0,0,0,2,0,0,0,0,0.4,-100
North Carolina,Greensboro,Ivory Coast,0,0,0,2,0,0,0,2,0,0,0.4,-100
North Carolina,Greensboro,Nepal,0,0,0,4,0,0,0,2,0,0,0.4,-100
North Carolina,Greensboro,Zimbabwe,0,0,4,0,0,1,0,1,0,0,0.4,-100
North Carolina,High Point,Mali,0,0,0,0,0,0,0,0,2,0,0.4,-100
North Carolina,High Point,Moldova,0,0,0,0,0,0,2,0,0,0,0.4,-100
North Carolina,High Point,Nepal,0,0,0,0,0,0,1,0,1,0,0.4,-100
North Carolina,Indian Trail,Ethiopia,0,0,0,0,0,0,0,0,2,0,0.4,-100
North Carolina,Matthews,Belarus,0,0,0,0,0,0,0,0,2,0,0.4,-100
North Carolina,Midland,Ukraine,0,0,0,0,0,0,0,0,2,0,0.4,-100
North Carolina,New Bern,Somalia,0,0,0,0,0,0,2,0,0,0,0.4,-100
North Carolina,North Wilkesboro,Burma,0,0,0,0,0,0,0,0,2,0,0.4,-100
North Carolina,Raleigh,Guinea,0,0,0,0,0,2,0,0,0,0,0.4,-100
North Carolina,Raleigh,Zimbabwe,0,2,0,0,2,0,0,0,0,0,0.4,-100
North Carolina,Sanford,Ethiopia,0,0,0,0,0,0,0,2,0,0,0.4,-100
North Carolina,Seven Springs,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
North Carolina,Wake Forest,Burma,0,0,0,0,0,2,0,0,0,0,0.4,-100
North Carolina,Wilmington,El Salvador,0,0,0,0,0,0,0,1,1,0,0.4,-100
North Dakota,Grand Forks,Afghanistan,0,0,0,0,0,2,0,0,0,0,0.4,-100
North Dakota,Grand Forks,Eritrea,0,0,0,0,0,0,0,0,2,0,0.4,-100
Ohio,Blacklick,Dem. Rep. Congo,0,0,0,0,0,2,0,0,0,0,0.4,-100
Ohio,Blacklick,Somalia,0,1,1,1,2,0,0,0,0,0,0.4,-100
Ohio,Cincinnati,Palestine,0,0,0,0,0,0,2,0,0,0,0.4,-100
Ohio,Cleveland,Rwanda,0,0,0,0,0,0,0,0,2,0,0.4,-100
Ohio,Cleveland,Zimbabwe,0,0,0,0,0,0,2,0,0,0,0.4,-100
Ohio,Columbus,China,0,0,0,0,0,1,0,1,0,0,0.4,-100
Ohio,Columbus,Kazakhstan,0,0,0,0,0,2,0,0,0,0,0.4,-100
Ohio,Columbus,Mali,0,0,0,0,0,2,0,0,0,0,0.4,-100
Ohio,Columbus,Mongolia,0,0,0,0,0,0,0,1,1,0,0.4,-100
Ohio,Dayton,Pakistan,0,0,0,0,0,2,0,0,0,0,0.4,-100
Ohio,Dayton,Rwanda,0,17,11,0,1,0,0,1,0,3,0.4,650
Ohio,Dayton,Zimbabwe,0,0,0,0,2,0,0,0,0,0,0.4,-100
Ohio,Doylestown,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Ohio,Euclid,Bhutan,0,0,0,0,2,0,0,0,0,0,0.4,-100
Ohio,Hamilton,Bhutan,0,0,0,0,0,0,0,2,0,0,0.4,-100
Ohio,Lakewood,Ethiopia,0,0,0,0,0,0,2,0,0,0,0.4,-100
Ohio,Miamisburg,Syria,0,0,0,0,0,0,0,0,2,0,0.4,-100
Ohio,Parma,Bhutan,0,0,0,0,0,0,0,2,0,0,0.4,-100
Ohio,South Euclid,Nepal,0,0,0,0,0,0,0,2,0,0,0.4,-100
Ohio,Tallmadge,Iran,0,0,0,0,0,2,0,0,0,0,0.4,-100
Oklahoma,Guymon,Ethiopia,0,0,0,0,1,0,0,0,1,0,0.4,-100
Oklahoma,Owasso,Russia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Oklahoma,Tulsa,Ukraine,0,0,0,0,0,0,0,0,2,0,0.4,-100
Oklahoma,Yukon,Ukraine,0,0,0,0,0,0,0,2,0,0,0.4,-100
Oregon,Beaverton,Egypt,0,0,0,0,0,0,2,0,0,0,0.4,-100
Oregon,Fall Creek,Russia,0,0,0,0,0,2,0,0,0,0,0.4,-100
Oregon,Gresham,Cuba,0,3,0,0,0,2,0,0,0,0,0.4,-100
Oregon,Gresham,Iran,0,0,1,0,2,0,0,0,0,0,0.4,-100
Oregon,Hillsboro,Syria,0,0,0,0,0,0,0,2,0,0,0.4,-100
Oregon,King City,Iran,0,0,0,0,0,0,2,0,0,0,0.4,-100
Oregon,Portland,Guatemala,0,0,0,0,0,0,0,0,2,0,0.4,-100
Oregon,Portland,Uganda,0,0,0,2,0,0,2,0,0,1,0.4,150
Oregon,Woodburn,Somalia,0,0,0,1,2,0,0,0,0,0,0.4,-100
Pennsylvania,Allentown,Afghanistan,0,2,0,0,0,0,0,0,2,0,0.4,-100
Pennsylvania,Allentown,Indonesia,0,0,0,0,0,0,2,0,0,0,0.4,-100
Pennsylvania,Birdsboro,Iraq,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Chester,Sudan,0,0,0,0,0,0,0,0,2,0,0.4,-100
Pennsylvania,Clairton,Burma,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Danville,Cuba,0,0,0,0,2,0,0,0,0,0,0.4,-100
Pennsylvania,Devon,Iran,0,0,0,0,2,0,0,0,0,0,0.4,-100
Pennsylvania,Dickson City,Burma,0,0,0,0,2,0,0,0,0,0,0.4,-100
Pennsylvania,Erie,Sri Lanka (Ceylon),0,0,0,0,0,0,0,2,0,0,0.4,-100
Pennsylvania,Etters,Ukraine,0,0,0,0,0,0,0,0,2,0,0.4,-100
Pennsylvania,Harrisburg,Nepal,0,0,0,0,0,0,0,0,2,0,0.4,-100
Pennsylvania,Harrisburg,Sudan,0,4,0,0,0,0,0,0,2,0,0.4,-100
Pennsylvania,Lancaster,El Salvador,0,0,0,0,0,0,0,0,2,2,0.4,400
Pennsylvania,Lancaster,Sierra Leone,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Leetsdale,Bhutan,0,0,0,1,0,2,0,0,0,0,0.4,-100
Pennsylvania,Leola,Cuba,0,0,0,0,0,0,0,0,2,0,0.4,-100
Pennsylvania,Mechanicsburg,Egypt,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Mechanicsburg,Kenya,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Philadelphia,Bangladesh,0,0,0,0,0,0,0,0,2,0,0.4,-100
Pennsylvania,Philadelphia,Malaysia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Pennsylvania,Philadelphia,Republic of South Sudan,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Pittsburgh,Eritrea,0,0,0,0,0,0,0,0,2,6,0.4,1400
Pennsylvania,Pittsburgh,Ethiopia,0,0,0,0,0,0,0,0,2,3,0.4,650
Pennsylvania,Pittsburgh,India,0,0,0,0,0,0,0,2,0,0,0.4,-100
Pennsylvania,Roslyn,Republic of South Sudan,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Scranton,Iran,0,1,0,0,0,0,0,2,0,0,0.4,-100
Pennsylvania,Scranton,Nepal,0,0,0,0,0,0,1,1,0,0,0.4,-100
Pennsylvania,West Chester,Burma,0,0,0,0,0,2,0,0,0,0,0.4,-100
Pennsylvania,Williamsport,Burma,0,0,0,0,0,0,2,0,0,0,0.4,-100
Puerto Rico,San Juan,Cuba,0,0,0,0,0,2,0,0,0,0,0.4,-100
Rhode Island,Providence,Angola,0,0,0,0,0,0,2,0,0,0,0.4,-100
Rhode Island,Providence,Cuba,0,0,0,0,0,0,1,1,0,0,0.4,-100
Rhode Island,Providence,Iran,4,2,3,11,0,2,0,0,0,0,0.4,-100
Rhode Island,Warwick,Iraq,0,0,0,0,0,0,0,2,0,0,0.4,-100
South Carolina,Charleston,Afghanistan,0,0,0,0,0,0,0,0,2,0,0.4,-100
South Carolina,Columbia,Honduras,0,0,0,0,0,0,0,0,2,0,0.4,-100
South Carolina,Duncan,Ukraine,0,0,0,0,0,0,2,0,0,0,0.4,-100
South Carolina,Greer,Burma,0,0,0,0,0,0,1,1,0,0,0.4,-100
South Carolina,Lyman,Ukraine,0,0,0,0,0,0,0,0,2,0,0.4,-100
Tennessee,Franklin,Ukraine,0,0,0,0,0,0,0,0,2,0,0.4,-100
Tennessee,Gallatin,Republic of South Sudan,0,0,0,0,0,0,0,2,0,0,0.4,-100
Tennessee,Hendersonville,Moldova,0,0,0,0,0,2,0,0,0,0,0.4,-100
Tennessee,Smyrna,El Salvador,0,0,0,0,0,0,0,0,2,1,0.4,150
Tennessee,Smyrna,Morocco,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Arlington,Eritrea,0,0,0,0,0,0,2,0,0,0,0.4,-100
Texas,Austin,Rwanda,0,0,0,0,1,0,1,0,0,1,0.4,150
Texas,Austin,Zambia,0,0,0,0,0,0,0,1,1,0,0.4,-100
Texas,Baytown,Iraq,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Bedford,Burma,0,6,3,5,0,1,0,0,1,0,0.4,-100
Texas,Boerne,Iran,2,7,0,0,0,0,0,2,0,0,0.4,-100
Texas,Cactus,Sudan,0,0,0,0,0,0,0,2,0,3,0.4,650
Texas,Center,Burma,0,0,0,0,0,2,0,0,0,0,0.4,-100
Texas,Center,Somalia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Texas,Channelview,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,College Station,Cuba,0,0,0,0,0,0,2,0,0,0,0.4,-100
Texas,Crowley,Burma,0,0,0,0,0,0,0,2,0,0,0.4,-100
Texas,Cypress,Iran,0,0,0,1,2,0,0,0,0,0,0.4,-100
Texas,Dallas,"Korea, North",0,0,0,0,2,0,0,0,0,0,0.4,-100
Texas,Dallas,Russia,1,0,0,0,2,0,0,0,0,0,0.4,-100
Texas,Dickinson,Iran,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Fairview,Iran,0,1,0,1,2,0,0,0,0,0,0.4,-100
Texas,Friona,Ethiopia,0,0,0,0,2,0,0,0,0,0,0.4,-100
Texas,Garland,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Grapevine,Iran,0,2,0,0,1,1,0,0,0,0,0.4,-100
Texas,Haltom City,El Salvador,0,0,0,0,0,0,0,0,2,4,0.4,900
Texas,Harker Heights,Burma,0,0,0,1,0,0,0,0,2,0,0.4,-100
Texas,Houston,China,2,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Houston,Egypt,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Irving,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Irving,Ethiopia,0,0,3,0,2,0,0,0,0,0,0.4,-100
Texas,Justin,El Salvador,0,0,0,0,0,0,0,2,0,0,0.4,-100
Texas,Leander,Iran,0,5,0,0,0,1,0,1,0,0,0.4,-100
Texas,Lewisville,Russia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Texas,Mesquite,Burma,2,0,0,0,0,0,0,2,0,0,0.4,-100
Texas,Missouri City,Iraq,0,6,0,0,0,0,0,0,2,0,0.4,-100
Texas,Moody,Iraq,0,0,0,0,0,2,0,0,0,0,0.4,-100
Texas,Murphy,Eritrea,0,1,0,0,2,0,0,0,0,0,0.4,-100
Texas,Pasadena,Iraq,1,7,0,2,2,0,0,0,0,0,0.4,-100
Texas,Pearland,Eritrea,0,0,0,0,0,2,0,0,0,1,0.4,150
Texas,Pflugerville,Burma,0,0,0,0,0,0,1,0,1,0,0.4,-100
Texas,Porter,Honduras,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Poteet,Iran,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Rockwall,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Texas,Saginaw,Dem. Rep. Congo,0,0,0,0,0,0,0,1,1,0,0.4,-100
Texas,San Antonio,Burundi,27,12,0,0,0,0,0,2,0,0,0.4,-100
Texas,San Antonio,Congo,0,0,0,9,2,0,0,0,0,0,0.4,-100
Texas,San Antonio,"Korea, North",0,0,0,4,1,0,0,0,1,0,0.4,-100
Texas,Spring,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Spring,Syria,0,0,0,0,0,0,0,0,2,0,0.4,-100
Texas,Universal City,Iraq,0,0,0,0,0,0,2,0,0,0,0.4,-100
Texas,Webster,Iran,0,0,0,0,0,0,0,0,2,0,0.4,-100
Utah,Bountiful,Iraq,0,0,0,0,0,0,0,0,2,0,0.4,-100
Utah,Herriman,Ethiopia,0,0,0,0,0,0,0,2,0,0,0.4,-100
Utah,Holladay,Somalia,0,0,0,0,2,0,0,0,0,0,0.4,-100
Utah,Logan,Djibouti,0,0,0,0,0,0,0,0,2,0,0.4,-100
Utah,Logan,Somalia,0,0,0,0,0,0,2,0,0,4,0.4,900
Utah,Millcreek,Cuba,0,0,0,0,0,0,2,0,0,0,0.4,-100
Utah,Ogden,Iran,0,1,0,5,2,0,0,0,0,0,0.4,-100
Utah,Park City,Belgium,0,0,0,0,0,0,0,2,0,0,0.4,-100
Utah,Saint George,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Utah,Taylorsville,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Utah,West Jordan,Iran,0,0,3,0,2,0,0,0,0,0,0.4,-100
Utah,West Valley City,Iran,4,0,0,8,2,0,0,0,0,0,0.4,-100
