state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average,total_population,foreign_born_est_prop,l1_africa,l1_americas,l1_asia,l1_europe,l1_oceania,l2_africa_eastern_africa,l2_africa_middle_africa,l2_africa_northern_africa,l2_africa_southern_africa,l2_africa_western_africa,l2_americas_latin_america,l2_americas_northern_america,l2_asia_eastern_asia,l2_asia_south_central_asia,l2_asia_south_eastern_asia,l2_asia_western_asia,l2_europe_eastern_europe,l2_europe_northern_europe,l2_europe_southern_europe,l2_europe_western_europe,l2_oceania_australia_nzealand_subregion,origin_prop
Colorado,Colorado Springs,Afghanistan,0,0,0,0,1,1,10,0,0,0,2.4,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,0.06517746
Colorado,Denver,Moldova,0,4,2,2,0,1,8,3,0,0,2.4,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.058801019
Colorado,Conifer,Dem. Rep. Congo,0,0,0,0,0,0,0,10,0,0,2,-100,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Thornton,Somalia,0,0,0,0,0,10,0,0,0,0,2,-100,132310,12.83,2.180189735,65.0816098,24.18832125,8.231689352,0.318189853,1.066525249,0,0.459607566,0,0.654056921,64.35095162,0.730658182,5.149961699,4.819987037,13.1930941,0.930999941,5.633138884,0.559778446,0.111955689,1.926816334,0.318189853,0
Colorado,Denver,Pakistan,0,0,0,3,0,0,0,0,9,3,1.8,66.67,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.304271941
Colorado,Boulder,Sudan,0,0,0,0,8,0,0,0,0,0,1.6,-100,106271,11.19,2.194568233,29.20205163,39.00613806,25.94803666,3.649205415,0.319515681,0,0.403598756,0.706297822,0.571764904,23.66938535,5.532666274,19.11208274,10.50197595,4.34709493,4.868409989,6.793912385,7.29841083,2.892457748,8.963255697,3.649205415,0
Colorado,Colorado Springs,Iran,0,4,3,1,4,2,1,0,1,0,1.6,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,0.118504474
Colorado,Fort Morgan,Eritrea,0,0,0,0,3,1,1,0,3,0,1.6,-100,11251,19.76,20.51282051,73.86414755,3.553756185,2.069275753,0,20.51282051,0,0,0,0,73.86414755,0,2.159244265,0,1.394511921,0,2.069275753,0,0,0,0,0
Colorado,Lakewood,Burma,0,0,2,0,0,0,0,0,8,20,1.6,1150,151411,9.14,2.933102153,52.92587776,25.78384626,17.63473486,0.722438954,0.534604826,1.09810721,0.288975582,0.960843809,0.050570727,51.22092183,1.704955931,7.072677359,5.598901893,11.15445745,1.957809565,7.975726051,4.255165439,1.57491692,3.828926456,0.722438954,0.15171218
Colorado,Arvada,Iraq,0,0,0,0,4,0,3,0,0,0,1.4,-100,115320,5.25,6.959828071,29.92230121,27.97156555,33.90643082,1.239874359,1.239874359,2.595470326,1.124152753,1.438254257,0.562076376,24.15275252,5.769548686,10.28269135,8.282360721,8.530335593,0.876177881,22.7806249,2.314432138,1.520912548,7.125144652,1.239874359,0
