state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Colorado,Denver,Mauritania,5,14,3,0,0,0,0,0,0,0,0,
Colorado,Denver,Sierra Leone,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Turkmenistan,3,0,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Uzbekistan,6,0,2,0,0,0,0,0,0,0,0,
Colorado,Denver,Vietnam,18,11,0,0,0,0,0,0,0,0,0,
Colorado,Eagle,Iraq,2,1,0,0,0,0,0,0,0,0,0,
Colorado,Englewood,Bhutan,0,7,0,0,0,0,0,0,0,0,0,
Colorado,Englewood,Iraq,7,8,1,0,0,0,0,0,0,0,0,
Colorado,Englewood,Somalia,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Erie,Eritrea,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Fort Morgan,Central African Republic,0,2,0,0,0,0,0,0,0,0,0,
Colorado,Fort Morgan,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,1,0,
Colorado,Glendale,Bhutan,0,0,3,0,0,0,0,0,0,0,0,
Colorado,Glendale,Iraq,0,0,0,1,0,0,0,0,0,0,0,
Colorado,Glendale,Liberia,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Golden,Iran,0,0,0,0,0,0,0,0,0,1,0,
Colorado,Greeley,Burundi,0,0,6,0,0,0,0,0,0,0,0,
Colorado,Greeley,Sudan,0,0,0,3,0,0,0,0,0,0,0,
Colorado,Greenwood Village,Iraq,8,0,0,0,0,0,0,0,0,0,0,
Colorado,Holyoke,Cuba,0,2,0,0,0,0,0,0,0,0,0,
Colorado,Indian Hills,Burma,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Lakewood,Afghanistan,0,0,0,0,0,0,0,0,0,6,0,
Colorado,Lakewood,Central African Republic,0,0,0,0,0,0,0,0,0,4,0,
Colorado,Lakewood,Senegal,0,0,0,0,0,0,0,0,0,2,0,
Colorado,Lakewood,Uganda,0,0,0,0,0,0,0,0,0,3,0,
Colorado,Longmont,Iraq,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Northglenn,Burma,8,0,1,2,0,0,0,0,0,0,0,
Colorado,Northglenn,Ukraine,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Pueblo,Iraq,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Superior,Bhutan,10,0,0,0,0,0,0,0,0,0,0,
Colorado,Thornton,Afghanistan,0,2,0,0,0,0,0,0,0,0,0,
Colorado,Thornton,Iran,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Westminster,Moldova,13,0,0,0,0,0,0,0,0,0,0,
Colorado,Westminster,Vietnam,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Wheat Ridge,Eritrea,0,1,0,0,0,0,0,0,0,0,0,
Colorado,,Burma,0,0,0,0,0,0,0,0,0,6,0,
